Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic36	172.0 	2     	1548  	100.0%
topic37	187.0 	2     	1577  	100.0%
topic38	309.0 	3     	5099  	100.0%
topic39	616.0 	3     	2031  	100.0%
topic4 	175.0 	2     	1665  	100.0%
topic5 	123.0 	2     	1430  	100.0%
topic6 	790.0 	2     	4425  	100.0%
topic7 	111.0 	2     	1087  	100.0%
topic8 	111.0 	3     	2084  	100.0%
topic9 	122.0 	2     	1412  	100.0%
Total Avg delay: 310.25 ms
