Mosca server is up and running
CLIENT_CONN mqttjs_6c5cc19a {} 1462745482106
CLIENT_CONN mqttjs_31eceb96 {} 1462745482110
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_6c5cc19a 1462745482114
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_31eceb96 1462745482114
CLIENT_CONN mqttjs_2bcab3d6 {} 1462745482117
CLIENT_CONN mqttjs_acf253e1 {} 1462745482119
CLIENT_CONN mqttjs_f27e8d74 {} 1462745482120
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_2bcab3d6 1462745482122
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_acf253e1 1462745482122
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_f27e8d74 1462745482122
CLIENT_CONN mqttjs_349b87ff {} 1462745482122
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_349b87ff 1462745482126
CLIENT_CONN mqttjs_7d8ecead {} 1462745482127
CLIENT_SUB topic8 mqttjs_31eceb96 1462745482129
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_7d8ecead 1462745482130
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_31eceb96","topic":"topic8"} 1462745482130
CLIENT_SUB topic7 mqttjs_2bcab3d6 1462745482133
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_2bcab3d6","topic":"topic7"} 1462745482134
CLIENT_SUB topic5 mqttjs_7d8ecead 1462745482151
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_7d8ecead","topic":"topic5"} 1462745482152
CLIENT_CONN mqttjs_24ee253d {} 1462745482153
CLIENT_SUB topic4 mqttjs_349b87ff 1462745482154
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_24ee253d 1462745482155
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_349b87ff","topic":"topic4"} 1462745482155
CLIENT_CONN mqttjs_78206f1e {} 1462745482158
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_78206f1e 1462745482158
CLIENT_SUB topic1 mqttjs_6c5cc19a 1462745482160
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_6c5cc19a","topic":"topic1"} 1462745482161
CLIENT_SUB topic10 mqttjs_78206f1e 1462745482177
CLIENT_SUB topic2 mqttjs_24ee253d 1462745482177
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_78206f1e","topic":"topic10"} 1462745482178
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_24ee253d","topic":"topic2"} 1462745482178
CLIENT_SUB topic6 mqttjs_acf253e1 1462745482181
CLIENT_CONN mqttjs_540009fd {} 1462745482182
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_acf253e1","topic":"topic6"} 1462745482183
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_540009fd 1462745482183
CLIENT_SUB topic3 mqttjs_f27e8d74 1462745482187
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_f27e8d74","topic":"topic3"} 1462745482189
CLIENT_SUB topic9 mqttjs_540009fd 1462745482196
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_540009fd","topic":"topic9"} 1462745482196
CLIENT_CONN mqttjs_4d875264 {} 1462745487232
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_4d875264 1462745487232
CLIENT_CONN mqttjs_f9150986 {} 1462745487239
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_f9150986 1462745487240
CLIENT_CONN mqttjs_dc449e43 {} 1462745487241
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_dc449e43 1462745487241
CLIENT_PUB 39321 72 172 1462745487550
CLIENT_PUB 39321 73 173 1462745487551
CLIENT_PUB 39321 74 174 1462745487551
CLIENT_PUB 39321 75 175 1462745487551
CLIENT_PUB 39321 76 176 1462745487551
CLIENT_PUB 39321 77 177 1462745487551
CLIENT_PUB 39321 78 178 1462745487551
CLIENT_PUB 39321 79 179 1462745487551
CLIENT_PUB 39321 80 180 1462745487551
CLIENT_PUB 39321 81 181 1462745487551
CLIENT_PUB 39321 82 182 1462745487552
CLIENT_PUB 39321 83 183 1462745487552
CLIENT_PUB 39321 84 184 1462745487552
CLIENT_PUB 39321 85 185 1462745487552
CLIENT_PUB 39321 86 186 1462745487552
CLIENT_PUB 39321 87 187 1462745487552
CLIENT_PUB 39321 88 188 1462745487552
CLIENT_PUB 39321 89 189 1462745487552
CLIENT_PUB 39321 90 190 1462745487552
CLIENT_PUB 39321 91 191 1462745487552
CLIENT_PUB 39321 92 192 1462745487552
CLIENT_PUB 39321 93 193 1462745487552
CLIENT_PUB 39321 94 194 1462745487552
CLIENT_PUB 39321 95 195 1462745487553
CLIENT_PUB 39321 96 196 1462745487553
CLIENT_PUB 39321 97 197 1462745487553
CLIENT_PUB 39321 98 198 1462745487553
CLIENT_PUB 39321 99 199 1462745487553
CLIENT_PUB 39280 0 200 1462745487553
CLIENT_PUB 39280 1 201 1462745487553
CLIENT_PUB 39280 2 202 1462745487553
CLIENT_PUB 39280 3 203 1462745487553
CLIENT_PUB 39280 4 204 1462745487553
CLIENT_PUB 39280 5 205 1462745487553
CLIENT_PUB 39280 6 206 1462745487553
CLIENT_PUB 39280 7 207 1462745487553
CLIENT_PUB 39280 8 208 1462745487553
CLIENT_PUB 39280 9 209 1462745487553
CLIENT_PUB 39280 10 210 1462745487554
CLIENT_PUB 39280 11 211 1462745487554
CLIENT_PUB 39280 12 212 1462745487554
CLIENT_PUB 39280 13 213 1462745487554
CLIENT_PUB 39280 14 214 1462745487554
CLIENT_PUB 39280 15 215 1462745487554
CLIENT_PUB 39280 16 216 1462745487554
CLIENT_PUB 39280 17 217 1462745487554
CLIENT_PUB 39280 18 218 1462745487554
CLIENT_PUB 39280 19 219 1462745487554
CLIENT_PUB 39280 20 220 1462745487554
CLIENT_PUB 39280 21 221 1462745487554
CLIENT_PUB 39280 22 222 1462745487555
CLIENT_PUB 39280 23 223 1462745487555
CLIENT_PUB 39280 24 224 1462745487555
CLIENT_PUB 39280 25 225 1462745487555
CLIENT_PUB 39280 26 226 1462745487555
CLIENT_PUB 39280 27 227 1462745487555
CLIENT_PUB 39280 28 228 1462745487555
CLIENT_PUB 39280 29 229 1462745487555
CLIENT_PUB 39280 30 230 1462745487555
CLIENT_PUB 39280 31 231 1462745487555
CLIENT_PUB 39280 32 232 1462745487555
CLIENT_PUB 39280 33 233 1462745487555
CLIENT_PUB 39280 34 234 1462745487555
CLIENT_PUB 39280 35 235 1462745487555
CLIENT_PUB 39280 36 236 1462745487555
CLIENT_PUB 39280 37 237 1462745487555
CLIENT_PUB 39280 38 238 1462745487555
CLIENT_PUB 39280 39 239 1462745487555
CLIENT_PUB 39280 40 240 1462745487556
CLIENT_PUB 39280 41 241 1462745487556
CLIENT_PUB 39280 42 242 1462745487556
CLIENT_PUB 39280 43 243 1462745487556
CLIENT_PUB 39280 44 244 1462745487556
CLIENT_PUB 39280 45 245 1462745487556
CLIENT_PUB 39280 46 246 1462745487556
CLIENT_PUB 39280 47 247 1462745487556
CLIENT_PUB 39280 48 248 1462745487556
CLIENT_PUB 39280 49 249 1462745487556
CLIENT_PUB 39280 50 250 1462745487556
CLIENT_PUB 39280 51 251 1462745487556
CLIENT_PUB 39280 52 252 1462745487556
CLIENT_PUB 39280 53 253 1462745487556
CLIENT_PUB 39280 54 254 1462745487556
CLIENT_PUB 39280 55 255 1462745487556
CLIENT_PUB 39280 56 256 1462745487556
CLIENT_PUB 39280 57 257 1462745487556
