Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic12	26.0  	1     	240   	100.0%
topic13	27.0  	0     	239   	100.0%
topic14	26.0  	1     	257   	100.0%
topic15	29.0  	1     	272   	100.0%
topic16	26.0  	1     	288   	100.0%
topic17	26.0  	0     	496   	100.0%
topic18	27.0  	1     	471   	100.0%
topic19	25.0  	1     	438   	100.0%
topic2 	29.0  	1     	297   	100.0%
topic20	32.0  	1     	541   	100.0%
topic21	38.0  	1     	565   	100.0%
topic22	43.0  	1     	601   	100.0%
topic23	45.0  	1     	651   	100.0%
topic24	39.0  	1     	376   	100.0%
topic25	39.0  	1     	351   	100.0%
topic26	41.0  	1     	297   	100.0%
topic27	38.0  	1     	287   	100.0%
topic28	47.0  	1     	563   	100.0%
topic29	47.0  	1     	370   	100.0%
topic3 	29.0  	1     	348   	100.0%
topic30	21.0  	1     	279   	100.0%
topic31	24.0  	1     	423   	100.0%
topic32	24.0  	1     	447   	100.0%
topic33	27.0  	1     	447   	100.0%
topic34	25.0  	1     	380   	100.0%
topic35	24.0  	1     	301   	100.0%
topic36	13.0  	0     	169   	100.0%
topic37	14.0  	1     	139   	100.0%
topic38	15.0  	1     	116   	100.0%
topic39	14.0  	1     	145   	100.0%
topic4 	27.0  	1     	283   	100.0%
topic40	22.0  	1     	213   	100.0%
topic41	24.0  	1     	204   	100.0%
topic42	21.0  	1     	195   	100.0%
topic43	21.0  	1     	176   	100.0%
topic44	21.0  	1     	190   	100.0%
topic45	23.0  	1     	187   	100.0%
topic46	19.0  	1     	143   	100.0%
topic47	24.0  	1     	173   	100.0%
topic48	22.0  	1     	162   	100.0%
topic49	22.0  	1     	192   	100.0%
topic5 	27.0  	1     	257   	100.0%
topic6 	27.0  	1     	192   	100.0%
topic7 	27.0  	1     	158   	100.0%
topic8 	30.0  	1     	182   	100.0%
topic9 	27.0  	1     	154   	100.0%
Total Avg delay: 27.46 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	16.0  	0     	213   	100.0%
topic1 	18.0  	1     	219   	100.0%
topic10	17.0  	1     	181   	100.0%
topic11	18.0  	1     	201   	100.0%
topic12	17.0  	0     	169   	100.0%
topic13	18.0  	1     	127   	100.0%
topic14	7.0   	1     	104   	100.0%
topic15	9.0   	1     	121   	100.0%
topic16	11.0  	1     	112   	100.0%
topic17	11.0  	1     	110   	100.0%
topic18	13.0  	1     	126   	100.0%
topic19	13.0  	1     	156   	100.0%
topic2 	19.0  	1     	233   	100.0%
topic20	12.0  	1     	216   	100.0%
topic21	11.0  	1     	252   	100.0%
topic22	13.0  	1     	207   	100.0%
topic23	15.0  	1     	156   	100.0%
topic24	15.0  	1     	211   	100.0%
topic25	16.0  	1     	223   	100.0%
topic26	14.0  	1     	203   	100.0%
topic27	11.0  	1     	126   	100.0%
topic28	12.0  	1     	229   	100.0%
topic29	15.0  	1     	232   	100.0%
topic3 	17.0  	1     	232   	100.0%
topic30	15.0  	1     	90    	100.0%
topic31	16.0  	1     	201   	100.0%
topic32	15.0  	1     	191   	100.0%
topic33	13.0  	1     	225   	100.0%
topic34	12.0  	1     	151   	100.0%
topic35	15.0  	1     	186   	100.0%
topic36	13.0  	1     	159   	100.0%
topic37	13.0  	1     	98    	100.0%
topic38	12.0  	1     	123   	100.0%
topic39	11.0  	1     	72    	100.0%
topic4 	17.0  	1     	131   	100.0%
topic40	10.0  	1     	128   	100.0%
topic41	10.0  	1     	179   	100.0%
topic42	8.0   	1     	128   	100.0%
topic43	10.0  	1     	123   	100.0%
topic44	10.0  	1     	112   	100.0%
topic45	8.0   	1     	103   	100.0%
